"Geography","statefips","countyfips","year","White Alone","Black Alone","American Ind. or Alaskan Native Alone","Asian Alone","Native Hawaiian and Other Pac. Isl. Alone","Two or More Races"
"Adams County, IN","18","001","2019",34995,198,117,137,15,315
"Allen County, IN","18","003","2019",302000,45450,1780,17431,393,12245
"Bartholomew County, IN","18","005","2019",72810,1974,390,7133,58,1414
"Benton County, IN","18","007","2019",8479,97,28,21,6,117
"Blackford County, IN","18","009","2019",11378,90,31,67,4,188
"Boone County, IN","18","011","2019",62809,1424,184,2284,25,1117
"Brown County, IN","18","013","2019",14606,110,94,72,3,207
"Carroll County, IN","18","015","2019",19710,201,79,37,7,223
"Cass County, IN","18","017","2019",34863,889,467,798,73,599
"Clark County, IN","18","019","2019",103348,9886,503,1414,96,3055
"Clay County, IN","18","021","2019",25485,195,77,106,14,348
"Clinton County, IN","18","023","2019",31460,251,177,153,12,346
"Crawford County, IN","18","025","2019",10268,71,55,22,9,152
"Daviess County, IN","18","027","2019",31881,768,130,169,38,365
"Dearborn County, IN","18","029","2019",48114,345,115,226,34,624
"Decatur County, IN","18","031","2019",25638,168,73,393,13,274
"De Kalb County, IN","18","033","2019",42323,242,142,224,30,514
"Delaware County, IN","18","035","2019",101244,8273,328,1511,71,2708
"Dubois County, IN","18","037","2019",41465,370,134,303,119,345
"Elkhart County, IN","18","039","2019",184614,12601,1334,2527,178,5087
"Fayette County, IN","18","041","2019",22279,340,98,84,3,298
"Floyd County, IN","18","043","2019",71030,4325,295,1006,41,1825
"Fountain County, IN","18","045","2019",15922,92,59,50,13,210
"Franklin County, IN","18","047","2019",22224,74,66,178,4,212
"Fulton County, IN","18","049","2019",19178,172,180,140,5,299
"Gibson County, IN","18","051","2019",31760,917,119,191,11,661
"Grant County, IN","18","053","2019",58162,4852,291,648,31,1785
"Greene County, IN","18","055","2019",31222,94,128,130,8,340
"Hamilton County, IN","18","057","2019",292605,15333,748,21965,149,7211
"Hancock County, IN","18","059","2019",73381,2487,249,704,36,1311
"Harrison County, IN","18","061","2019",39358,290,137,182,22,526
"Hendricks County, IN","18","063","2019",147426,13326,533,5330,121,3575
"Henry County, IN","18","065","2019",45622,1314,118,216,16,686
"Howard County, IN","18","067","2019",72219,6548,337,1082,36,2322
"Huntington County, IN","18","069","2019",35309,274,214,237,18,468
"Jackson County, IN","18","071","2019",41519,593,260,1140,73,646
"Jasper County, IN","18","073","2019",32554,304,118,162,15,409
"Jay County, IN","18","075","2019",19942,109,46,82,7,250
"Jefferson County, IN","18","077","2019",30680,700,123,276,12,517
"Jennings County, IN","18","079","2019",26886,246,80,106,18,399
"Johnson County, IN","18","081","2019",144202,4095,499,6285,144,2942
"Knox County, IN","18","083","2019",34496,1093,128,353,21,503
"Kosciusko County, IN","18","085","2019",75660,913,336,1387,46,1114
"Lagrange County, IN","18","087","2019",38776,215,118,168,10,327
"Lake County, IN","18","089","2019",345938,118555,2690,8333,289,9688
"La Porte County, IN","18","091","2019",93242,12750,530,716,30,2620
"Lawrence County, IN","18","093","2019",44029,230,201,301,13,596
"Madison County, IN","18","095","2019",114461,11083,519,778,78,2650
"Marion County, IN","18","097","2019",612791,280667,4321,36906,596,29301
"Marshall County, IN","18","099","2019",44623,388,175,309,37,726
"Martin County, IN","18","101","2019",10021,36,38,48,1,111
"Miami County, IN","18","103","2019",32397,1801,342,190,17,769
"Monroe County, IN","18","105","2019",127577,5519,484,10821,107,3923
"Montgomery County, IN","18","107","2019",36847,437,165,346,17,526
"Morgan County, IN","18","109","2019",68477,383,252,506,28,843
"Newton County, IN","18","111","2019",13485,140,77,98,20,164
"Noble County, IN","18","113","2019",46083,557,207,258,28,611
"Ohio County, IN","18","115","2019",5734,38,17,21,1,64
"Orange County, IN","18","117","2019",18886,325,87,84,4,260
"Owen County, IN","18","119","2019",20209,111,87,124,1,267
"Parke County, IN","18","121","2019",16210,453,89,33,4,148
"Perry County, IN","18","123","2019",18216,574,63,100,10,206
"Pike County, IN","18","125","2019",12059,88,52,84,8,98
"Porter County, IN","18","127","2019",156542,7566,644,2645,67,2925
"Posey County, IN","18","129","2019",24608,267,79,167,6,300
"Pulaski County, IN","18","131","2019",11927,120,57,86,3,160
"Putnam County, IN","18","133","2019",34959,1443,142,455,17,560
"Randolph County, IN","18","135","2019",23921,183,116,96,17,332
"Ripley County, IN","18","137","2019",27491,137,106,242,3,345
"Rush County, IN","18","139","2019",16046,174,70,65,6,220
"St. Joseph County, IN","18","141","2019",216608,37596,1536,7365,262,8459
"Scott County, IN","18","143","2019",23181,129,85,226,21,231
"Shelby County, IN","18","145","2019",42926,636,153,371,61,582
"Spencer County, IN","18","147","2019",19699,197,68,70,0,243
"Starke County, IN","18","149","2019",22440,100,114,54,0,287
"Steuben County, IN","18","151","2019",33477,309,132,236,19,421
"Sullivan County, IN","18","153","2019",19244,1013,67,53,2,290
"Switzerland County, IN","18","155","2019",10404,149,35,38,5,120
"Tippecanoe County, IN","18","157","2019",161838,11551,756,17166,109,4312
"Tipton County, IN","18","159","2019",14709,112,62,86,5,174
"Union County, IN","18","161","2019",6821,68,21,29,3,112
"Vanderburgh County, IN","18","163","2019",155033,17876,534,2612,388,5008
"Vermillion County, IN","18","165","2019",15091,84,54,44,6,219
"Vigo County, IN","18","167","2019",93773,7931,422,2239,44,2629
"Wabash County, IN","18","169","2019",29914,264,235,185,7,391
"Warren County, IN","18","171","2019",8050,33,27,49,6,100
"Warrick County, IN","18","173","2019",58990,1122,180,1682,30,994
"Washington County, IN","18","175","2019",27434,143,77,85,4,293
"Wayne County, IN","18","177","2019",59598,3316,252,713,62,1943
"Wells County, IN","18","179","2019",27415,249,84,189,12,347
"White County, IN","18","181","2019",23236,217,176,136,13,324
"Whitley County, IN","18","183","2019",33030,167,142,180,14,431
